name,lat,lon
Fort York  Blvd / Capreol Ct,43.639832,-79.395954
Wellesley Station Green P,43.66496415990742,-79.38355031526893
St. George St / Bloor St W,43.667333,-79.399429
Madison Ave / Bloor St W,43.667158,-79.402761
University Ave / Elm St,43.656518,-79.389099
King St W / York St,43.6480008,-79.383177
Bay St / College St (East Side),43.660439,-79.385525
College St / Huron St,43.658148,-79.398167
Wellesley St W / Queen's Park Cres,43.663376,-79.392125
King St E / Jarvis St,43.650325,-79.372287
King St W / Spadina Ave,43.645323,-79.395003
Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327
Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181
King St W / Bay St (West Side),43.64852,-79.380576
Bay St / Queens Quay W (Ferry Terminal),43.640978,-79.376785
Bremner Blvd / Rees St,43.641529,-79.386741
Phoebe St / Spadina Ave,43.650033,-79.396555
Bay St / Albert St,43.653264,-79.382458
Simcoe St / Queen St W,43.65049,-79.3873
College St / Borden St,43.6571,-79.4056
Dundonald St / Church St,43.66663,-79.38148
Ted Rogers Way / Bloor St E,43.671293,-79.380471
Bay St / St. Joseph St,43.665527,-79.387499
Beverley  St / Dundas St W,43.652823,-79.393388
Gould St / Mutual St,43.6582,-79.3768
Bay St / Bloor St W (East Side),43.66943,-79.38915
Bay St / Wellesley St W,43.664088,-79.387095
Jarvis St / Isabella St,43.668991,-79.379385
Augusta Ave / Dundas St W,43.652473,-79.401456
Union Station,43.645609,-79.380386
Church St / Bloor St E,43.671389,-79.382919
Queen St W / Ossington Ave,43.643975,-79.419576
Trinity St /Front St E,43.651318,-79.36023
Bathurst St / Dundas St W,43.6519501,-79.4060978
Dundas St W / Yonge St,43.656094,-79.381484
Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087
Euclid Ave / Bloor St W,43.664467,-79.414783
Edward St / Yonge St,43.656729,-79.382736
Sherbourne St / Wellesley St E,43.6673,-79.374
Queens Quay W / Lower Simcoe St,43.63951,-79.383717
Church St / Alexander St,43.663722,-79.380288
Bond St / Queen St E,43.653236,-79.376716
Niagara St / Richmond St W,43.64534,-79.409597
University Ave / Gerrard St W (East Side),43.657763,-79.389165
Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962
Richmond St E / Jarvis St Green P,43.652634,-79.374222
Wellington St W / Bay St,43.647259,-79.379878
Metro Hall Plaza,43.645859,-79.38783
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051
Jarvis St / Carlton St,43.66207,-79.37617
Parliament St / Gerrard St,43.662132,-79.3656796
Simcoe St / Wellington St W South,43.6458569,-79.3853654
Huron St / Harbord St,43.6637,-79.400053
Front St W / Blue Jays Way,43.643473,-79.390477
Dalton Rd / Bloor St W,43.6662942,-79.4066433
University Ave / College St (West),43.659226,-79.390213
Queen's Park / Bloor St W,43.668456,-79.393899
51 Parliament St,43.65205,-79.362198
Dundas St E / Parliament St,43.659575,-79.365769
Willcocks St / St. George St,43.662085,-79.397735
Yonge St / Harbour St,43.643795,-79.375413
Blantyre Park,43.68306889999999,-79.279682
Queen St W / Spadina Ave,43.649147,-79.395504
25 York St – Union Station South,43.643667,-79.380414
161 Bleecker St (South of Wellesley),43.666233,-79.373327
Fleet St / Bathurst St,43.636611,-79.400042
Spadina Ave / Fort York Blvd,43.640114,-79.393249
King St E / Church St,43.65003919999999,-79.3733541
Queens Quay W / Dan Leckie Way,43.636533,-79.395854
York St / Queens Quay W,43.640132,-79.380464
College Park South,43.659777,-79.382767
College St / Major St,43.6576,-79.4032
McGill St / Church St,43.660694,-79.379052
Danforth Ave / Barrington Ave,43.688325,-79.300463
High Park - Grenadier Cafe,43.645599,-79.4657123
Danforth Ave / Westlake Ave,43.687323,-79.304848
High Park - West Rd,43.6525077,-79.4654233
Danforth Ave / Aldridge Ave,43.684758,-79.316767
Danforth Ave / Coxwell Ave,43.683378,-79.322961
Church St  / Wood St,43.662712,-79.379903
Danforth Ave / Lamb Ave,43.681991,-79.329455
Donlands Subway Station,43.681114,-79.3373885
Pape Subway Station (Green P),43.680223,-79.344062
Danforth Ave / Gough Ave,43.678401,-79.346289
Chester Subway Station,43.6784834,-79.3513564
Danforth Ave / Ellerbeck St,43.677076,-79.35667
Lower Don River Trail and Taylor Creek Trail,43.7027268,-79.33368089999999
Riverdale Park North (Broadview Ave),43.671172,-79.354704
Cherry St / Mill St,43.6513927,-79.35794659999999
Dundas St E / Regent Park Blvd,43.660207,-79.361275
Lower Sherbourne St / The Esplanade,43.648655,-79.367061
Nelson St / Duncan St,43.648711,-79.389728
Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663
King St E / River St,43.656784782853144,-79.35627385059036
Queen St E / Sackville St,43.6561111,-79.36138888888888
Mill St / Tannery Rd,43.652219,-79.354455
Cherry St / Distillery Ln,43.650279,-79.356832
Front St E / Cherry St,43.652686,-79.358395
Seaton St / Dundas St E - SMART,43.658777,-79.369596
Queen St E / Berkeley St,43.6552778,-79.36583333333333
King St W / Douro St,43.640885,-79.416379
Liberty St / Fraser Ave Green P,43.637981,-79.424146
Carlton St / Parliament St,43.664524,-79.36793
Howard St / Sherbourne St,43.6712581,-79.376367
640 Bloor Street E,43.67468857448634,-79.36701962396272
King St W / Bay St (East Side),43.648575,-79.380042
Sumach St / Carlton St (Riverdale Farm),43.665867,-79.362506
Gerrard St E / River St,43.663993,-79.358534
Jarvis St / Dundas St E,43.657266,-79.374756
Niagara St / Tecumseth St,43.641389,-79.404444
424 Wellington St W,43.643834,-79.396649
Dundas St E / Broadview Ave,43.662365,-79.351104
Yonge St / Yorkville Ave,43.671944,-79.387778
Bay St / Scollard St,43.672152,-79.39018
Yonge St / Aylmer Ave,43.675492,-79.388858
Davenport Rd / Avenue Rd,43.674991,-79.396273
Davenport Rd / Bedford Rd,43.674446,-79.398331
Taddle Creek Park,43.66986,-79.398443
Kendal Ave / Spadina Rd,43.670318,-79.405181
Summerhill Subway Station,43.681944,-79.390556
Hanna Ave / Liberty St,43.63840090000001,-79.4197107
Queen St W / Close Ave,43.640634,-79.435841
Davenport Rd / Bathurst St,43.676667,-79.416111
Davenport Rd / Christie St,43.675278,-79.423889
Glen Edyth Dr / Davenport Rd,43.677778,-79.405556
Macpherson Ave / Spadina Rd,43.675791,-79.40698
Bridgman Ave / Kendal Ave,43.675556,-79.410278
Bridgman Ave / Bathurst St,43.674444,-79.414722
Kendal Ave / Bernard Ave,43.671513,-79.408317
Palmerston Ave / Vermont Ave,43.671389,-79.416389
Christie St / Benson Ave (Wychwood Barns),43.68,-79.42500000000001
King St W / Fraser Ave,43.6394444,-79.42527777777778
King St W / Joe Shuster Way,43.639444,-79.423611
Yarmouth Rd / Christie St,43.67,-79.42083333333333
Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111111112
Essex St / Christie St - SMART,43.6686111,-79.42027777777778
Ossington Ave / Bloor St W,43.661705,-79.425734
Bloor St W / Christie St,43.6638889,-79.41888888888889
Bathurst Subway Station,43.6666667,-79.41166666666668
Bathurst St / Lennox St,43.663808,-79.410491
Salem Ave / Bloor St W,43.6608333,-79.43166666666667
Dufferin St / Bloor St W,43.66083333333333,-79.43583333333333
King St W / Stafford St,43.6422222,-79.41111111111111
King St W / Tecumseth St,43.64333333333333,-79.40555555555557
Beverley St / College St,43.6575,-79.39527777777778
Hayter St / Laplante Ave,43.6591666666667,-79.3855555555556
Yonge St / Wood St,43.6622222,-79.3825
Gould St / Yonge St (TMU),43.657424,-79.381019
Queens Quay / Yonge St,43.641646,-79.375308
Front St W / Bay St (North Side),43.646162,-79.378912
Spadina Ave / Willcocks St,43.6616667,-79.40138888888889
Ontario Place Blvd / Lake Shore Blvd W,43.6322445,-79.4108105
Strachan Ave / Princes' Blvd,43.635,-79.4088888888889
Cariboo St / Rail Path,43.66666667,-79.45833333333334
Bloor St W / Dundas St W,43.6563889,-79.45166666666667
HTO Park (Queens Quay W),43.63796,-79.387502
Bathurst St / Fort York Blvd,43.639179,-79.399595
Dundas St W / Edna Ave,43.657192,-79.452559
Lansdowne Subway Station,43.6587734,-79.443054
Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889
Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556
St Clarens Ave / College St,43.651238,-79.43868
Ossington Ave / College St,43.6544915,-79.422634
Exhibition GO (Atlantic Ave),43.637695491830144,-79.42023184193503
Augusta Ave / Denison Sq,43.653766,-79.4016759
St. George St / Hoskin Ave,43.6637403,-79.39806449999999
Central Tech  (Harbord St),43.661975,-79.407896
Harbord St / Clinton St,43.660414,-79.415646
Queen St W / Gladstone Ave,43.6430555555556,-79.4275
Mortimer Ave / Coxwell Ave,43.690564,-79.326319
Ulster St / Bathurst St,43.66,-79.4088888888889
Roxton Rd / Harbord St,43.65905,-79.422988
Queen St W / Dovercourt Rd,43.6438602,-79.4227573
Queen St W / Cowan Ave,43.6409,-79.432837
College St / Markham St,43.6563888888889,-79.4091666666667
Queen St W / Bay St (City Hall),43.6517925,-79.38269509999999
Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253
College St / Crawford St,43.655,-79.418889
Rusholme Park Cres / College St,43.65277778,-79.42972222
Claremont St / Dundas St W,43.651281,-79.411717
Dundas St W / Crawford St,43.649722,-79.416944
80 Clinton St,43.656296,-79.414663
Ossington Ave / Harrison St,43.651111111111106,-79.4213888888889
Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555
Fort York Blvd / Garrison Rd,43.637381,-79.406112
Wellington St W / Stafford St,43.6409957,-79.40966630000001
Soho St / Queen St W,43.6494896,-79.393535
Lake Shore Blvd W / Ellis Ave,43.635932,-79.465083
High Park Subway Station,43.6543604,-79.4655296
